Verb,Albine,Agrippine,Burrhus,Britannicus,Narcisse,Néron,Junie
rencontrer,0,0,0,1,0,0,0
renoncer,0,0,0,1,0,0,0
renouveler,0,1,0,0,0,0,0
rentrer,1,0,0,0,0,0,0
renvoyer,0,1,0,0,0,0,0
repaître,0,0,0,0,0,0,1
ressentir,0,2,0,0,0,0,0
retentir,0,0,0,0,1,0,0
retrouver,0,0,0,0,0,2,0
rire,0,0,0,0,1,0,0
rompre,0,1,0,0,0,0,0
rouvrir,0,1,0,0,0,0,0
réchauffer,0,0,0,1,0,0,0
réciter,0,0,0,0,1,0,0
réconcilier,0,0,0,0,0,2,0
récuser,0,0,1,0,0,0,0
réduire,0,1,0,0,0,0,0
régler,0,0,1,0,0,0,0
réveiller,0,1,0,0,0,0,0
révoquer,0,1,0,0,0,0,0
saisir,0,0,0,0,0,1,0
seconder,0,0,1,0,0,0,0
secourir,0,0,0,0,0,0,1
soulever,0,0,0,1,0,0,0
soupirer,0,0,0,0,2,0,0
soustraire,0,0,1,0,0,0,0
survivre,0,0,2,0,0,0,0
tarir,0,0,1,0,0,0,0
tendre,0,0,2,0,0,0,0
tenter,0,0,0,0,1,0,0
terminer,0,1,0,0,0,0,0
tirer,0,1,0,0,0,0,0
tourmenter,0,0,0,0,0,1,0
trafiquer,0,0,0,1,0,0,0
tramer,0,0,0,1,0,1,0
travailler,0,0,0,0,0,1,0
traîner,0,0,0,1,0,0,0
triompher,0,0,0,0,0,2,0
tuer,1,0,0,0,0,0,0
tâcher,0,0,0,0,0,1,0
unir,0,0,0,0,2,0,0
valoir,0,0,0,0,0,1,0
veiller,1,0,0,0,0,0,0
venger,0,1,0,0,0,0,0
verser,0,1,0,0,0,0,0
virer,0,0,0,1,0,0,0
écrire,0,0,1,0,0,0,0
égarer,0,1,0,0,0,0,0
émouvoir,0,0,0,1,0,0,0
éperdre,1,0,0,0,0,0,0
épier,0,0,0,1,0,0,0
éprouver,0,1,0,0,0,0,0
étendre,0,0,0,0,0,1,0
être|sommer,0,0,0,1,0,0,0
ôter,0,0,0,0,0,1,0
